variable,coef,std_err,t,p
race_pred_Unknown,0.006523087886556549,0.0023185007011445047,2.8134940323013455,0.004900648229334805
race_pred_White,0.008383650829285577,0.0005894105275306029,14.223788747733705,6.5355540547218906e-46
type_token_ratio,-0.13707964454755406,0.00210215505806834,-65.20910245009037,0.0
flesch_kincaid_grade,0.006334648572239233,9.172967387489175e-05,69.05779018552853,0.0
avg_sentence_length,0.005123780530657114,6.554848799241147e-05,78.16779131885228,0.0
prompt_vader,-0.044609624533475396,0.0003403696763654208,-131.06227619872493,0.0
id_cue_explicit,0.07851119440655158,0.0036717219745606437,21.38266321647248,1.9574559068522683e-101
id_cue_name,0.033390840323470665,0.0035790814882443994,9.329444002083742,1.0646795992871302e-20
id_cue_neutral,-0.1446190614763352,0.003679497724619588,-39.30402253239249,0.0
id_cue_none,0.024169136056747868,0.0054176552176683915,4.461180175867595,8.151125309232544e-06
race_White,0.03605565699418081,0.0005051523046677189,71.37581410798006,0.0
race_black,0.029603509353874374,0.0004979533589976857,59.45036582032969,0.0
race_none,0.027858887909244127,0.002045643559410841,13.61864230016087,3.1080915737218965e-42
race_white,0.037672276982632834,0.0004996846347820655,75.39210606118272,0.0
